Name,No,Date,Pitch_Type,Is_Strike,Strike_Zone_Side,Strike_Zone_Height,球速,回転数,True_Spin_release,回転効率,Spin_Direction,Spin_Confidence,VB_trajectory,HB_trajectory,VB_spin,HB_spin,Horizontal_Angle,Release_Angle,Release_Height,Release_Side,Release_Extension_ft,Gyro_Degree_deg,,,,,,,,,,,,,,,,,,,,,,
友廣,1,2025/1/17,Fastball,Y,1.34,86.03,129.48,2042.75,2000.1,97.91,0:40,0.9,50.4,10,48.4,18.1,-1.25,-1.32,1.74,0.26,0,11.73,,,,,,,,,,,,,,,,,,,,,,
友廣,2,2025/1/17,Fastball,N,14.56,125.2,130.29,2004.74,1996,99.56,0:56,0.9,65.3,13,45.9,24.4,-0.87,-0.32,1.74,0.25,0,5.35,,,,,,,,,,,,,,,,,,,,,,
友廣,3,2025/1/17,Fastball,N,13.68,131.42,128.75,2002.58,1963.3,98.04,0:42,0.9,63.4,14.6,48.3,18.5,-1.03,-0.01,1.73,0.27,0,11.37,,,,,,,,,,,,,,,,,,,,,,
友廣,4,2025/1/17,Fastball,N,-25.49,97.28,130.21,2020.25,1968.5,97.44,0:38,0.9,50.6,10.2,48.7,16.6,-2.26,-1.06,1.73,0.26,0,13,,,,,,,,,,,,,,,,,,,,,,
友廣,5,2025/1/17,Fastball,Y,-3.93,92.79,129.16,1989.4,1980.2,99.54,0:44,0.8,72.2,25.6,48.7,19.9,-2.18,-1.83,1.75,0.3,0,5.52,,,,,,,,,,,,,,,,,,,,,,
友廣,6,2025/1/17,Fastball,N,-18.82,120.72,130.26,2022.29,2000.5,98.92,0:42,0.8,76.5,9.7,48.9,18.6,-2.04,-0.95,1.74,0.28,0,8.42,,,,,,,,,,,,,,,,,,,,,,
友廣,7,2025/1/17,Fastball,Y,16.26,89.25,130.82,2043.61,2001,97.92,0:46,0.9,66.5,20.9,47.8,20.2,-1.19,-1.79,1.74,0.28,0,11.71,,,,,,,,,,,,,,,,,,,,,,
友廣,8,2025/1/17,Fastball,N,11.58,119.59,128.43,1982.39,1951.4,98.44,0:44,0.9,56.7,18,47.9,19,-1.2,-0.23,1.73,0.26,0,10.15,,,,,,,,,,,,,,,,,,,,,,
友廣,9,2025/1/17,Fastball,N,16.94,109.56,130.3,2043.12,2014.9,98.62,0:42,0.9,42.7,9.9,48.3,18.9,-0.75,-0.17,1.72,0.27,0,9.53,,,,,,,,,,,,,,,,,,,,,,
友廣,10,2025/1/17,Fastball,N,30.52,107.26,130.74,1975.66,1931.7,97.78,0:40,0.9,52.4,11.7,47.8,17.5,-0.24,-0.57,1.72,0.25,0,12.1,,,,,,,,,,,,,,,,,,,,,,
